"","title","dod","name","born","awards","Occupation","Filmography"
"1","Aadhi (actor)","","Aadhi Pinisetty","",Na,"Film actor","Eeram,Gundello_Godari,Aravaan,Aadu_Puli,Yagavarayinum_Naa_Kaakka,Ayyanar_(film)"
"2","Aadukalam Murugadoss","","Murugadoss","",Na,"Film actor","Visaranai"
"3","Aadukalam Naren","","Narayanan","",Na,"Actor","Sarabham"
"4","Aarthi Aggarwal","","","",Na,"","Andala_Ramudu_(2006_film)"
"5","Abbas (actor)","","Mirza Abbas Ali","21-05-1975",Na,"","Minnale,Shanti_Shanti_Shanti,Parasuram_(2003_film),V.I.P_(1997_film),Kandukondain_Kandukondain,Aanandham,Adhu,Adi_Thadi,Political_Rowdy,Nee_Premakai,Sadhu_Miranda,Banda_Paramasivam,Kadhal_Virus,Anasuya_(film),Raja_(1999_film),Jolly_(film),Vanakkam_Thalaiva,Guru_En_Aalu,Hey_Ram,Kannezhuthi_Pottum_Thottu,Priya_O_Priya,Dharmayutham,Thiruttu_Payale,Poochudava,Pammal_K._Sambandam,Shock_(2004_film),Greetings_(2004_film),Ramanujan_(film),Pooveli,Maanasthan,Mouryan"
"6","Abhinaya (actress)","","Abhinaya Anand","",Na,"","1_by_Two,The_Reporter_(film),Genius_(2012_film),Vizhithiru,Shambo_Shiva_Shambo,Naadodigal,Mela_Thaalam"
"7","Abhirami (actress)","","Divya Gopikumar","",Na,"","Virumaandi,Laali_Haadu,Apothecary_(film),Middle_Class_Madhavan,Vaanavil,Charlie_Chaplin_(film),Dosth_(2001_Tamil_film),Samudhiram,Cheppave_Chirugali,Driver_on_Duty,36_Vayadhinile"
"8","Abitha","","Jenila","",Na,"Film actor","Thirumathi_Selvam,Seerivarum_Kaalai,Ponnoonjal_(TV_Series)"
"9","Aishwarya Rai Bachchan","","","1/11/1973",Na,"","Guzaarish,Raavanan,The_Pink_Panther_2,Ladies_and_Gentlemen_(film),Raincoat_(film),Sarkar_Raj,Jazbaa"
"10","Ajith Kumar","","Ajith Kumar Subramani","1/5/1971",Na,"Film actor,Promotional model,Auto racing,Philanthropist","Jana_(film),Paramasivan,Ullaasam,Vaanmathi,Varalaru,Amarkalam,A%C5%9Boka_(film),Kandukondain_Kandukondain,Red_(2002_film),Villain_(2002_film),Anantha_Poongatre,Prema_Pusthakam,Poovellam_Un_Vasam,Arrambam,Aegan,Veeram,Attahasam,Kireedam_(2007_film),Ji_(film),Aasai,Amaravathi_(1993_film),Aval_Varuvala,Citizen_(film),Dheena,Ennai_Thalatta_Varuvala,Kaadhal_Mannan,Kadhal_Kottai,Kalloori_Vaasal,Minor_Mappillai,Nee_Varuvai_Ena,Nesam,Paasamalargal,Pagaivan,Pavithra,Raasi,Raja_(2002_film),Rettai_Jadai_Vayasu,Thodarum,Unnai_Kodu_Ennai_Tharuven,Uyirodu_Uyiraga,Billa_(2007_film),Mankatha,Unnai_Thedi,Anjaneya_(film),Asal_(film),Thirupathi_(2006_Tamil_film),Yennai_Arindhaal...,A%C5%9Boka_(2001_film),Vaali_(film),Yennai_Arindhaal"
"11","Ajmal Ameer","","","",Na,"Film actor,Physician","D-17_(film),Bangles_(film),Racha_(film),Ula_(film),Thiru_Thiru_Thuru_Thuru,Karuppampatti,Pranayakalam,Anjathe,Tanu_Monne_Vellipoyindi,TN_07_AL_4777"
