title,dod,name,born,awards,Occupation,Filmography
Aadhi (actor),,Aadhi Pinisetty,,,Film actor,
Aadukalam Murugadoss,,Murugadoss,,,Film actor,
Aadukalam Naren,,Narayanan,,,Actor,
Aarthi Aggarwal,,,,,,
Abbas (actor),,Mirza Abbas Ali,21-05-1975,,,
Abhinaya (actress),,Abhinaya Anand,,,,
Abhirami (actress),,Divya Gopikumar,,,,
Abitha,,Jenila,,,Film actor,
Aishwarya Rai Bachchan,,,1/11/1973,,,
Ajith Kumar,,Ajith Kumar Subramani,1/5/1971,,"Film actor,Promotional model,Auto racing,Philanthropist",
Ajmal Ameer,,,,,"Film actor,Physician",
Akkineni Nagarjuna,,,29-08-1959,,"Actor,Film producer,Businessman,Philanthropist",
Allari Naresh,,Edara Naresh,30-06-1982,,,
Alpha Piscium,,,,,,
Amala (actress),,Amala Mukherjee,,,"Actress,Social activist,Chairperson",
Amala Paul,,,26-10-1990,,,
Ambika (actress),,,16-11-1962,,,
Ameesha Patel,,Amisha Amit Patel,9/6/1975,,,
Amy Jackson,,Amy Louise Jackson,31-01-1992,,"Actress,Model (person)",
Ananya (actress),,Ayilya Gopalakrishnan Nair,29-03-1987,,,
Andrea Jeremiah,,Andrea Jeremiah,21-12-1985,,"Actress,Singer,Musician,Voice Actress,Dancer",
Anita Hassanandani Reddy,,Anita Hassanandani,,,,
Anjala Zaveri,,,20-04-1972,,,
Anjali (actress born 1986),,Anjali,11/9/1986,,,
Anju Aravind,,Anju Aravind,,,,
Ankitha,,Ankitha Jhaveri,,,,
Annapoorna (actress),,,,,,
Anu Aggarwal,,,11/1/1969,,,
Anu Hasan,,Anuradha Chandrahasan,15-07-1970,,"Actress,Model (person),TV anchor,Entrepreneur",
Anu Prabhakar,,Anu Prabhakar,9/11/1980,,,
Anuja Iyer,,,,,,
Anupama Kumar,,,4/12/1974,,,
Anushka Shetty,,Sweety Shetty,7/11/1981,,,
Aparnaa Bajpai,,Aparna Bajpai,,,Actress,
Aravind Akash,,,,,,
Archana (actress),,,,,"Actress,Dancer",
Archana Gupta,,,,,"Film actress,Model (person)",
Arjun Sarja,,Srinivasa Sarja,15-08-1964,,,
Arulnithi,,Arulnithi Tamilarasu,,,,
Arun Vijay,,Arun,19-11-1977,,Film actor,
Arvind Swamy,,,,,,
Arya (actor),,Jamshad Ceethirakath,,,,
Ashima Bhalla,,,,,Actress,
Ashish Vidyarthi,,,,,,
Ashok (actor),,Ashok Kumar Balakrishnan,,,,
Ashok Selvan,,Ashok Selvan,8/11/1989,,Film actor,
