"","Name","Birth.name.other.names","DOB","DOD","Official.fb.page..twitter.handle..website.and.other.online.profiles","Professions","Top.picks..will.be.better.if.we.used.an.algo...like.most.rated.movies.","Awards.and.recognitions","NA.","Brief.description","Image..source.","Known.For","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77","NA..78","NA..79","NA..80","NA..81","NA..82"
"1",Na,Na,Na,Na,Na,Na,Na,"Won","Nominated",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"2","Aadhi","Aadhi Pinisetty","14/12/1981",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Aadhi (Tamil: ஆதி) is a 2006 Tamil movie. Starring Vijay and Trisha in the lead roles. It is a remake of the Telugu film Athanokkade. This film was directed by Ramana and was produced by S.A.Chandrasekar. The movie received average reviews. Dubbed in Telugu as Neneraa Aadhi""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"3","Aadukalam Murugadoss","Murugadoss","29/08/1980",Na,"fb - , twitter - ","Actor","http://en.wikipedia.org/wiki/List_of_Tamil_film_actors",Na,Na,"""Aadukalam Murugadoss is an Indian film actor who has appeared in Tamil language films. He made his breakthrough portraying Dhanush's friend in Vetrimaaran's critically acclaimed 2011 film. Aadukalam, thus adding the name of the film as a prefix to create a stage name.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"4","Aadukalam Naren","Narayanan",Na,Na,"fb - , twitter - ","Actor","http://scrapy.org/",Na,Na,"""Aadukalam Naren is an Indian film actor who has appeared in Tamil language films. He made his debut in the 2011 film, Aadukalam directed by Vetrimaaran, with the film being used as a prefix to his screen name. He earlier appeared in Balu Mahendra's television series Kathai Neram.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"5","Abbas","Mirza Abbas Ali","21/05/1975",Na,"fb - , twitter - ","Actor, model",Na,Na,Na,"","http://www.malayalamcinema.com/member/1/membgal/Abbas6.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"6","Atharvaa","Atharvaa Murali","32694",Na,"fb - https://www.facebook.com/AtharvaaOfficial?fref=ts , twitter - ","Actor",Na,Na,Na,"""Atharva Murali (Tamil: அதர்வாமுரளி; born may 7, 1989) is an Indian film actor. He is the son of late actor Murali. He began his acting career in 2010 with the film Baana Kaathadi. He is a good dancer, Basketball and Football Player, and his ambition was to become a pilot, but his path has been changed. He did his engineering in Sathyabama University.""","http://tamil.cinesnacks.net/photos/events/Muppozhudhum-Un-Karpanaigal-Audio/adharva-jiiva-stills-015.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"7","Adithya",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"8","Ajith Kumar","Ajith Kumar Subramani","25938",Na,"fb - , twitter - ","Actor, model, racing driver, philanthropist",Na,Na,Na,"""Ajith Kumar (born 1 May 1971) is an Indian film actor working predominantly in Tamil cinema. He has won three Filmfare Best Actor Awards, all for films which showcased him in multiple roles. In addition to his acting, Ajith, in a sabbatical, participated in the 2004 British Formula Three season as a Formula Two racing driver and was ranked the third best motor car driver in India at his peak.He began his career as a supporting actor in a Telugu film before gaining critical recognition in the Tamil thriller Aasai (1995), before going on to establish himself as a romantic hero with Kadhal Kottai (1996), Aval Varuvala (1998) and Kadhal Mannan (1998) being the most notable. He was later seen in method roles as in Vaali (1999), Mugavaree (2000), Kandukondain Kandukondain (2000) and Citizen (2001) before establishing himself as an action hero with popular films, including Amarkalam (1999), Dheena (2001), Villain (2002), Attagasam (2004), Varalaru (2006), Billa (2007), Mankatha (2011), Arrambam (2013) and Veeram (2014).Ajith remains a popular figure in the media of Tamil Nadu, making headlines for his relationships before his marriage to former actress Shalini, and his controversial statements in a few occasions. His popularity and cultural influence have been compared to that of yesteryear actor M. G. Ramachandran by several veteran journalists. Ajith was listed No. 61 in Forbes India's Top 100 Celebrities for the year 2012""","http://www.soundcameraaction.com/wp-content/uploads/2014/10/SSMusiccc-2234.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"9","Ajmal Ameer","Ajmal ameer",Na,Na,"fb - , twitter - ","Actor, Doctor",Na,Na,Na,"""Ajmal Ameer is an Indian film actor, who works in the Malayalam, Tamil, and Telugu film industries. He has also acted in one English movie. He has won two Filmfare Awards South.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"10","Allari Naresh","Edara Naresh","30/06/1982",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Allari Naresh (Original: Edara Naresh) is an Indian film actor who stars in Tollywood films. He is the son of Telugu veteran director and producer EVV Satyanarayana. Born and brought up in Chennai, Tamil Nadu, he moved to Hyderabad after completing his schooling at Sri M. Venkatasubbha Rao Matriculation Higher Secondary School at T. Nagar, Chennai. He is fluent in Telugu, Tamil, Hindi and English. He got the tag ""Allari"" before his name after the success of his first film in Tollywood. His debut film in Tamil, Kurumbu, was a remake of Allari. He received Nandi Award for Best Supporting Actor and Filmfare Best Supporting Actor Award (Telugu) in 2008 for his performance as ""Gali Seenu"" in the movie Gamyam.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
